Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0xa8a0b692b3e4b7aee3fcbec9589326d4bbdf5c7f,8,1,7,0,0,0,0,3.2989,1.6489,1.65,0,0,0,0,0,0,1649532374,1651473483,1941109000,2033000,242639000,2952000,0,0,0,2033000,242639000,2952000,5,0,0,0
1,0x76bf9c57d5976106acf850f5aac997292898c918,2,1,1,1,0,1,0,39.999916,19.999916,20.0,0.01,0,0.01,0,0,0,1542119560,1663618655,121499095000,100378000,50189000,0,0,0,0,100378000,40499698000,0,2,0,1,0
1,0xdbbc7e7098f69ff271c7d12b75b53c099d3c883d,36,1,35,3,0,3,2,108.67865746,54.789992829999996,53.88866463,913.674,0,913.674,0,0,0,1525309044,1557730233,32421189000,18000,105410000,319000,9774977000,9517492000,18777498000,18000,831313000,319000,28,0,3,0
1,0x891baff569597297a9f97bf8b19bcab63275f518,7,2,5,2,1,1,0,8.537668009999999,4.26877048,4.26889753,113.37,100.0,13.37,0,0,0,1535713054,1547971375,12258321000,3109000,38203000,16087000,11702922000,5851461000,0,3109000,1362036000,16087000,6,0,2,0
1,0x1006c7a96dac6d910791f24caf536897f93d74a6,24,11,13,0,0,0,0,8.101754323712164,4.031754323712164,4.069999999999999,0,0,0,0,0,0,1647334229,1650502465,3168236000,39000,132010000,69421000,0,0,0,39000,132010000,69421000,21,2,0,0
1,0x5240a75adee83d0f6c45693d897788ed694884e5,4,3,1,0,0,0,0,0.631246442667295,0.314205312667295,0.31704113,0,0,0,0,0,0,1628201016,1628203605,2589000,85000,647000,2070000,0,0,0,85000,647000,2070000,2,0,0,0
1,0xedc0c49946b93aa296a11298480ae7913bb65222,27,15,12,7,0,7,0,73.56017976139408,36.77903253069704,36.78114723069704,1035.348,0,1035.348,0,0,0,1522749781,1557730233,34980452000,82000,1208509000,2909000,1417000,4655274000,3968794000,82000,1028837000,2909000,24,0,2,3
1,0x9491cf3d7d48dae2eaa72d818e5d99ceaa083105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x700cee07ac5ef32bc2af762b10f5d85b97a55261,403,283,121,211,72,139,4,981.0344069469996,586.4540734221399,419.5803335248597,35333430.26597139,17664674.14248053,17668756.123490863,0,0,0,1509902948,1585594153,75691205000,0,691000,109000,0,358726000,1179000,0,123276000,67000,131,60,63,7
1,0xb48bb047b9716a306a6bd3adef52f912778b3c9f,3,1,2,1,0,1,0,2.1161179,1.05,1.0661179,13.37,0,13.37,0,0,0,1534766150,1547971375,13205225000,180000,3248629000,0,0,0,0,180000,3301306000,9745707000,3,0,1,0
1,0x547835880fc39ed1943eda616db8ab35b267e8b7,20,6,14,0,0,0,3,0.28335497572288665,0.15044572316854063,0.132909252554346,0,0,0,0,0,0,1661966089,1662638908,672819000,431000,33641000,1623000,0,0,0,431000,33641000,1623000,9,0,0,0
1,0x9b521529d04329c2b0a9f9b7db18ed775c6ca8fc,3,2,1,0,0,0,0,41.486327606250256,20.74303780312513,20.74328980312513,0,0,0,0,0,0,1516946010,1517104371,158361000,232000,52787000,158129000,0,0,0,232000,52787000,158129000,3,0,0,0
1,0x0324d6ca206dd4a807ac9fec93589fdd9e614cdf,5,3,2,5,0,5,0,11.755492731423969,5.872007731423969,5.883485,129.9297603455976,0,129.9297603455976,10.0,0,10.0,1529318064,1667369627,138051563000,275223000,12530955000,0,2964278000,25602268000,5648808000,275223000,13805156000,8814930000,5,0,3,2
